id,nome,cargo,email,wikipedia_url,facebook_url,twitter_url,blog_url,website_url,linkedin_url,prog_radio,prog_tv
2167,Abel Baptista,,abel.l.baptista@cds.parlamento.pt,,,,,,,,
4208,Acácio Pinto,,gp_ps@ps.parlamento.pt,,,,,,,,
3,Adão Silva,Trabalho e Segurança Social,adaosilva@psd.parlamento.pt,,,,,,,,
2027,Adriano Rafael Moreira,"Obras Públicas, Transportes e Comunicações",,,,,,,,,
1488,Afonso Candal,Vice-presidente da bancada,acandal@ps.parlamento.pt,,,,,,,,
2065,Agostinho Branquinho,"Vice-presidente da bancada; Ética, Sociedade e Cultura",,http://pt.wikipedia.org/wiki/Agostinho_Branquinho,http://www.facebook.com/agostinho.branquinho,http://twitter.com/ABranquinho,,,,,
208,Agostinho Lopes,Assuntos Europeus; Economia e Inovação; Agricultura e Pescas,,,,,,,,,
143,Alberto Costa,,gp_ps@ps.parlamento.pt,http://pt.wikipedia.org/wiki/Alberto_Costa,,,,,,,
1048,Altino Bessa,,abessa@cds.parlamento.pt,,,,,,,,
3919,Amadeu Soares Albergaria,"Ética, Sociedade e Cultura; Educação e Ciência",,,http://www.facebook.com/amadeu.albergaria,http://twitter.com/aalbergaria,,,,,
1212,Ana Catarina Mendonça,Vice-presidente da bancada,catarina@ps.parlamento.pt,,http://pt-pt.facebook.com/ana.catarina.mendes,,http://blogs.parlamento.pt/janelaparlamentar,,,,
1941,Ana Drago,Educação,ana.drago@be.parlamento.pt,http://pt.wikipedia.org/wiki/Ana_Drago,,,,,,,
2263,Ana Paula Vitorino,,gp_ps@ps.parlamento.pt,,,,,,,,
4167,Anabela Freitas,,gp_ps@ps.parlamento.pt,,,,,,,,
4014,Antonieta Guerreiro,Saúde,,,,,,,,,
2015,António Almeida Henriques,"Vice-presidente da comissão de Assuntos Económicos, Inovação e Desenvolvimento Regional",ahenriques@psd.parlamento.pt,,,,http://blogs.parlamento.pt/almeidahenriques,,,,
4086,António Leitão Amaro,Ambiente e Ordenamento do Território,,,http://www.facebook.com/leitao.amaro,http://twitter.com/Leitao_Amaro,,,,,
4204,António Cabeleira,Agricultura e Pescas; Ambiente e Ordenamento do Território,,,,,,,,,
156,António Costa,,,,,,,,,,Quadratura do círculo (Sic notícias)
209,António Filipe,"Vice-presidente da bancada; Assuntos Constitucionais, Direitos, Liberdades e Garantias; Defesa",af@pcp.parlamento.pt,http://pt.wikipedia.org/wiki/Ant%C3%B3nio_Filipe,,http://twitter.com/AntonioFilipe,,,,,
1977,António Gameiro,,agameiro@ps.parlamento.pt,,,,,,,,
155,António José Seguro,,ajseguro@ps.parlamento.pt,http://pt.wikipedia.org/wiki/Ant%C3%B3nio_Jos%C3%A9_Seguro,http://www.facebook.com/people/Antonio-Jose-Seguro/529907659 ,,http://www.antoniojoseseguro.com/blog.asp,http://www.antoniojoseseguro.com/,,,
